player_name,prop_type,line_value,suggestion,win_rate_3,ev_3,proj_3,win_rate_5,ev_5,proj_5,win_rate_10,ev_10,proj_10,win_rate_14,ev_14,proj_14,win_rate_28,ev_28,proj_28
VJ Edgecombe,FG3M,1.5,OVER,66.6,0.4,3.36,40.4,-25.8,2.21,50.0,-16.2,1.99,43.0,-23.3,1.86,53.6,-12.6,2.1
Ben Sheppard,FG3M,1.5,OVER,66.2,18.2,1.98,79.2,31.2,2.18,69.0,21.0,1.78,62.8,14.7,1.63,46.8,-1.3,1.33
Quentin Grimes,FG3M,1.5,OVER,99.3,44.6,3.01,59.1,4.4,1.8,49.5,-5.1,1.3,35.5,-19.1,0.93,42.5,-12.1,1.31
Tyrese Maxey,FG3M,3.5,OVER,58.1,13.4,3.36,36.4,-8.2,3.01,38.0,-6.6,3.14,33.4,-11.2,2.85,36.6,-8.0,3.01
Andrew Nembhard,AST,7.5,OVER,33.3,-14.8,5.0,40.0,-8.1,5.0,42.7,-5.4,5.23,59.2,11.1,6.79,53.9,5.8,6.99
Tyrese Maxey,AST,6.5,OVER,55.2,-0.6,5.98,33.2,-22.7,4.8,40.9,-15.0,5.98,49.2,-6.7,6.37,49.4,-6.5,6.45
Jarace Walker,AST,3.5,OVER,99.9,39.4,6.33,61.9,1.3,4.4,47.7,-12.9,3.38,35.9,-24.7,3.03,22.5,-38.1,2.49
Quentin Grimes,AST,3.5,OVER,35.3,-8.8,3.62,22.3,-21.8,2.24,20.9,-23.1,2.49,23.9,-20.2,2.38,23.2,-20.9,2.43
Kelly Oubre Jr,AST,1.5,OVER,99.4,36.2,2.33,79.9,16.6,2.4,89.8,26.5,2.61,70.6,7.4,2.06,47.4,-15.9,1.54
Tyrese Maxey,PTS,30.5,OVER,44.7,-7.6,31.24,48.1,-4.3,31.22,30.3,-22.1,27.07,29.2,-23.1,25.83,36.6,-15.7,27.32
Jarace Walker,PTS,17.5,OVER,43.5,-7.8,16.34,46.2,-5.1,14.46,33.8,-17.5,14.67,37.7,-13.6,15.69,18.9,-32.4,12.37
VJ Edgecombe,PTS,16.5,OVER,67.0,15.7,19.3,42.2,-9.1,16.62,41.7,-9.6,15.19,30.2,-21.1,13.67,33.7,-17.6,14.53
Andrew Nembhard,PTS,16.5,OVER,33.2,-17.8,9.05,40.0,-11.0,10.24,39.3,-11.7,11.49,41.0,-10.0,12.57,44.3,-6.8,14.06
Kelly Oubre Jr,PTS,15.5,OVER,88.2,32.4,20.09,72.3,16.5,16.3,61.5,5.6,15.65,50.4,-5.5,14.11,36.4,-19.4,10.94
Quentin Grimes,PTS,11.5,OVER,76.0,21.1,14.69,45.3,-9.7,8.77,32.3,-22.6,8.08,29.8,-25.2,7.0,40.1,-14.9,9.08
Kam Jones,PTS,8.5,OVER,30.3,-20.2,6.02,37.8,-12.7,6.22,29.0,-21.5,5.2,20.7,-29.8,3.66,10.6,-39.9,2.45
Ben Sheppard,PTS,7.5,OVER,89.6,37.8,12.02,91.6,39.8,11.03,70.0,18.2,9.06,54.8,3.0,7.86,39.2,-12.6,6.31
Tyrese Maxey,PR,34.5,OVER,40.6,-11.0,34.26,35.8,-15.8,33.56,30.0,-21.6,30.73,28.3,-23.3,29.18,36.1,-15.5,30.91
Jarace Walker,PR,25.5,OVER,64.6,13.1,28.05,53.9,2.3,22.4,39.8,-11.7,22.25,35.3,-16.3,22.07,18.0,-33.6,17.24
VJ Edgecombe,PR,21.5,OVER,71.4,16.2,26.44,44.0,-11.2,22.78,43.2,-12.0,21.25,32.3,-22.9,19.57,35.7,-19.6,20.01
Kelly Oubre Jr,PR,21.5,OVER,64.7,12.9,24.25,53.0,1.2,21.03,48.7,-3.1,20.91,38.0,-13.8,19.02,26.7,-25.1,14.58
Andrew Nembhard,PR,18.5,OVER,31.8,-23.1,9.65,39.8,-15.2,11.53,38.6,-16.3,13.26,42.3,-12.7,15.43,49.2,-5.8,16.81
Quentin Grimes,PR,15.5,OVER,53.8,3.3,16.72,31.4,-19.1,9.85,25.8,-24.7,10.4,23.2,-27.3,9.0,34.6,-15.9,11.81
Ben Sheppard,PR,10.5,OVER,98.6,45.4,15.66,85.8,32.6,14.83,63.2,10.0,12.34,44.4,-8.7,10.26,32.9,-20.3,8.4
Tyrese Maxey,PRA,41.5,OVER,37.7,-14.1,40.3,25.7,-26.2,38.35,26.6,-25.2,36.76,26.4,-25.4,35.87,33.5,-18.3,37.3
Jarace Walker,PRA,29.5,OVER,78.4,25.8,34.43,59.3,6.7,26.76,39.8,-12.8,25.51,34.6,-18.0,25.11,17.8,-34.8,19.6
Andrew Nembhard,PRA,26.5,OVER,32.8,-19.3,14.67,39.0,-13.1,16.32,38.6,-13.5,18.59,43.4,-8.6,22.11,52.7,0.6,23.71
VJ Edgecombe,PRA,25.5,OVER,64.0,10.8,27.74,39.0,-14.2,24.62,40.5,-12.7,24.39,34.4,-18.8,22.89,38.7,-14.5,23.84
Kelly Oubre Jr,PRA,23.5,OVER,69.1,17.0,26.67,52.4,0.3,23.36,50.0,-2.1,23.45,40.0,-12.1,21.04,29.0,-23.1,16.13
Quentin Grimes,PRA,18.5,OVER,43.2,-9.2,20.43,25.2,-27.1,12.11,22.6,-29.8,12.66,23.5,-28.9,11.29,34.9,-17.4,14.46
Jarace Walker,REB,7.5,OVER,97.6,42.0,11.64,58.5,2.9,7.93,48.7,-6.9,7.42,36.0,-19.6,6.3,21.4,-34.1,4.7
VJ Edgecombe,REB,5.5,OVER,72.4,20.5,6.98,57.8,6.0,6.17,56.8,5.0,6.0,54.0,2.2,5.86,47.5,-4.3,5.39
Kelly Oubre Jr,REB,4.5,OVER,53.1,-7.5,4.34,53.9,-6.7,4.78,58.2,-2.4,5.28,49.4,-11.2,4.91,35.7,-24.9,3.66
