id,player_name,game_date,pts,reb,ast,threes_made,minutes_played
11342,OG Anunoby,2026-01-24,23,7,4,2,
11343,James Harden,2026-02-22,20,5,9,3,
11344,James Harden,2026-02-20,18,4,8,2,
11345,James Harden,2026-02-19,16,5,9,3,
11346,James Harden,2026-02-11,13,4,11,1,
11347,James Harden,2026-02-09,22,10,7,2,
11348,James Harden,2026-02-07,23,2,8,5,
11349,James Harden,2026-02-04,0,0,0,0,
11350,James Harden,2026-02-02,0,0,0,0,
11351,James Harden,2026-02-01,0,0,0,0,
11352,James Harden,2026-01-30,25,5,9,4,
11353,James Harden,2026-01-27,16,3,10,3,
11354,James Harden,2026-01-25,19,6,8,3,
11355,James Harden,2026-01-22,18,7,10,2,
11356,James Harden,2026-01-20,24,5,6,3,
11357,Evan Mobley,2026-02-22,15,2,1,1,
11358,Evan Mobley,2026-02-20,0,0,0,0,
11359,Evan Mobley,2026-02-19,10,9,2,0,
11360,Evan Mobley,2026-02-11,0,0,0,0,
11361,Evan Mobley,2026-02-09,0,0,0,0,
11362,Evan Mobley,2026-02-07,0,0,0,0,
11363,Evan Mobley,2026-02-04,0,0,0,0,
11364,Evan Mobley,2026-02-01,0,0,0,0,
11365,Evan Mobley,2026-01-30,0,0,0,0,
11366,Evan Mobley,2026-01-28,0,0,0,0,
11367,Evan Mobley,2026-01-26,20,9,2,1,
11368,Evan Mobley,2026-01-24,13,7,3,1,
11369,Evan Mobley,2026-01-23,29,13,7,0,
11370,Evan Mobley,2026-01-21,14,14,0,0,
11371,Josh Hart,2026-02-22,11,9,5,1,
11372,Josh Hart,2026-02-21,2,6,6,0,
11373,Josh Hart,2026-02-19,11,4,3,0,
11374,Josh Hart,2026-02-11,6,7,9,1,
11375,Josh Hart,2026-02-10,15,11,11,2,
11376,Josh Hart,2026-02-08,19,6,3,2,
11377,Josh Hart,2026-02-06,5,6,2,1,
11378,Josh Hart,2026-02-04,0,0,0,0,
11379,Josh Hart,2026-02-03,4,7,7,1,
11380,Josh Hart,2026-02-01,20,4,2,3,
11381,Josh Hart,2026-01-30,20,6,5,1,
11382,Josh Hart,2026-01-28,22,5,6,4,
11383,Josh Hart,2026-01-27,7,9,4,0,
11384,Josh Hart,2026-01-24,10,13,7,1,
11385,Mikal Bridges,2026-02-22,11,2,5,3,
11386,Mikal Bridges,2026-02-21,11,6,5,1,
11387,Mikal Bridges,2026-02-19,8,3,0,0,
11388,Mikal Bridges,2026-02-11,22,5,6,1,
11389,Mikal Bridges,2026-02-10,22,6,3,2,
11390,Mikal Bridges,2026-02-08,14,4,1,1,
11391,Mikal Bridges,2026-02-06,19,1,2,3,
11392,Mikal Bridges,2026-02-04,5,4,4,1,
11393,Mikal Bridges,2026-02-03,23,4,5,3,
11394,Mikal Bridges,2026-02-01,10,0,2,0,
11395,Mikal Bridges,2026-01-30,10,2,5,1,
11396,Mikal Bridges,2026-01-28,30,1,4,4,
11397,Mikal Bridges,2026-01-27,18,3,5,2,
11398,Mikal Bridges,2026-01-24,9,3,4,1,
11399,Jarrett Allen,2026-02-22,11,13,2,0,
11400,Jarrett Allen,2026-02-20,26,14,2,0,
11401,Jarrett Allen,2026-02-19,15,10,1,0,
11402,Jarrett Allen,2026-02-11,21,9,1,0,
11403,Jarrett Allen,2026-02-09,22,13,1,0,
11404,Jarrett Allen,2026-02-07,29,10,1,0,
11405,Jarrett Allen,2026-02-04,10,11,3,0,
11406,Jarrett Allen,2026-02-01,40,17,5,0,
11407,Jarrett Allen,2026-01-30,12,7,3,0,
11408,Jarrett Allen,2026-01-28,17,9,2,0,
11409,Jarrett Allen,2026-01-26,9,4,1,0,
11410,Jarrett Allen,2026-01-24,8,6,1,0,
11411,Jarrett Allen,2026-01-23,15,9,0,0,
11412,Jarrett Allen,2026-01-21,13,9,0,0,
11413,Jaylon Tyson,2026-02-22,7,4,0,1,
11414,Jaylon Tyson,2026-02-20,5,1,0,1,
11415,Jaylon Tyson,2026-02-19,11,5,2,1,
11416,Jaylon Tyson,2026-02-11,7,5,1,0,
11417,Jaylon Tyson,2026-02-09,16,3,1,4,
11418,Jaylon Tyson,2026-02-07,10,6,0,0,
11419,Jaylon Tyson,2026-02-04,17,4,1,3,
11420,Jaylon Tyson,2026-02-01,18,3,6,4,
11421,Jaylon Tyson,2026-01-30,16,4,3,2,
11422,Jaylon Tyson,2026-01-28,20,6,6,3,
11423,Jaylon Tyson,2026-01-26,14,9,4,2,
11424,Jaylon Tyson,2026-01-24,17,5,4,3,
11425,Jaylon Tyson,2026-01-23,17,7,4,3,
11426,Jaylon Tyson,2026-01-21,14,7,4,1,
11427,Jaylen Brown,2026-02-22,32,8,7,3,
11428,Jaylen Brown,2026-02-19,23,15,13,0,
11429,Jaylen Brown,2026-02-11,24,4,4,2,
11430,Jaylen Brown,2026-02-08,26,2,4,0,
11431,Jaylen Brown,2026-02-06,29,7,2,1,
11432,Jaylen Brown,2026-02-04,0,0,0,0,
11433,Jaylen Brown,2026-02-03,33,11,3,2,
11434,Jaylen Brown,2026-02-01,30,13,2,4,
11435,Jaylen Brown,2026-01-30,0,0,0,0,
11436,Jaylen Brown,2026-01-28,21,7,3,0,
11437,Jaylen Brown,2026-01-26,20,8,4,1,
11438,Jaylen Brown,2026-01-24,33,8,5,2,
11439,Jaylen Brown,2026-01-23,27,10,12,4,
11440,Jaylen Brown,2026-01-21,30,10,5,1,
11441,Payton Pritchard,2026-02-22,30,4,8,6,
11442,Payton Pritchard,2026-02-19,26,6,7,6,
11443,Payton Pritchard,2026-02-11,26,5,8,3,
11444,Payton Pritchard,2026-02-08,6,2,7,1,
11445,Payton Pritchard,2026-02-06,24,1,1,4,
11446,Payton Pritchard,2026-02-04,27,3,7,5,
11447,Payton Pritchard,2026-02-03,26,4,7,2,
11448,Payton Pritchard,2026-02-01,7,3,5,1,
11449,Payton Pritchard,2026-01-30,29,2,8,5,
11450,Payton Pritchard,2026-01-28,12,4,0,0,
11451,Payton Pritchard,2026-01-26,23,4,3,5,
11452,Payton Pritchard,2026-01-24,10,3,7,1,
11453,Payton Pritchard,2026-01-23,32,4,4,6,
11454,Payton Pritchard,2026-01-21,10,5,8,1,
11455,Jalen Green,2026-02-22,13,3,1,1,
11456,Jalen Green,2026-02-21,16,7,5,2,
11457,Jalen Green,2026-02-19,26,3,2,4,
11458,Jalen Green,2026-02-11,0,0,0,0,
11459,Jalen Green,2026-02-10,12,1,4,2,
11460,Jalen Green,2026-02-07,8,3,3,0,
11461,Jalen Green,2026-02-05,0,0,0,0,
11462,Jalen Green,2026-02-03,0,0,0,0,
11463,Jalen Green,2026-02-01,0,0,0,0,
11464,Jalen Green,2026-01-30,11,4,1,3,
11465,Jalen Green,2026-01-29,0,0,0,0,
11466,Jalen Green,2026-01-27,0,0,0,0,
11467,Jalen Green,2026-01-25,0,0,0,0,
11468,Jalen Green,2026-01-23,4,1,1,0,
11469,Derrick White,2026-02-22,12,5,8,2,
11470,Derrick White,2026-02-19,10,5,8,0,
11471,Derrick White,2026-02-11,9,4,9,2,
11472,Derrick White,2026-02-08,19,1,4,3,
11473,Derrick White,2026-02-06,21,3,5,4,
11474,Derrick White,2026-02-04,28,1,8,6,
11475,Derrick White,2026-02-03,11,2,8,1,
11476,Derrick White,2026-02-01,17,7,8,3,
11477,Derrick White,2026-01-30,7,2,9,1,
11478,Derrick White,2026-01-28,11,4,3,1,
11479,Derrick White,2026-01-26,18,4,4,2,
11480,Derrick White,2026-01-24,15,7,7,3,
11481,Derrick White,2026-01-23,0,0,0,0,
11482,Derrick White,2026-01-21,13,5,5,1,
11483,Collin Gillespie,2026-02-22,18,3,3,4,
11484,Collin Gillespie,2026-02-21,19,5,6,3,
11485,Collin Gillespie,2026-02-19,8,2,8,2,
11486,Collin Gillespie,2026-02-11,6,5,3,2,
11487,Collin Gillespie,2026-02-10,5,8,8,1,
11488,Collin Gillespie,2026-02-07,6,4,2,2,
11489,Collin Gillespie,2026-02-05,11,3,4,3,
11490,Collin Gillespie,2026-02-03,30,4,10,8,
11491,Collin Gillespie,2026-02-01,12,4,2,4,
11492,Collin Gillespie,2026-01-30,16,2,5,4,
11493,Collin Gillespie,2026-01-29,16,5,2,5,
11494,Collin Gillespie,2026-01-27,0,0,0,0,
11495,Collin Gillespie,2026-01-25,11,4,0,3,
11496,Collin Gillespie,2026-01-23,16,6,4,3,
11497,Mark Williams,2026-02-22,6,5,0,0,
11498,Mark Williams,2026-02-21,9,9,1,0,
11499,Mark Williams,2026-02-19,11,10,0,0,
11500,Mark Williams,2026-02-11,6,1,0,0,
11501,Mark Williams,2026-02-10,13,9,1,0,
11502,Mark Williams,2026-02-07,11,11,2,0,
11503,Mark Williams,2026-02-05,11,10,0,0,
11504,Mark Williams,2026-02-03,24,11,1,0,
11505,Mark Williams,2026-02-01,7,7,4,0,
11506,Mark Williams,2026-01-30,10,7,2,0,
11507,Mark Williams,2026-01-29,6,5,1,0,
11508,Mark Williams,2026-01-27,27,6,1,0,
11509,Mark Williams,2026-01-25,11,8,1,0,
11510,Mark Williams,2026-01-23,6,5,1,0,
